epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47079,0.33226,0.28533,0.88401,0.97488,0.95929,0.995,0.90766,0.43978,0.26652,0.89534,0.0001112,0.0001112,0.0001112
2,6.12088,0.38271,0.3292,0.88422,0.9724,0.92369,0.98675,0.90804,0.45515,0.27315,0.89192,0.000220437,0.000220437,0.000220437
3,8.80687,0.39363,0.35209,0.87134,0.94271,0.95323,0.95028,0.8894,0.45047,0.35641,0.89011,0.000321968,0.000321968,0.000321968
4,11.4381,0.42778,0.39632,0.91218,0.90737,0.95481,0.96907,0.8946,0.48965,0.37392,0.90738,0.000415793,0.000415793,0.000415793
5,14.058,0.45291,0.40242,0.9029,0.88841,0.96667,0.95116,0.87266,0.47565,0.37599,0.90212,0.000482608,0.000482608,0.000482608
6,16.6662,0.44211,0.41888,0.91627,0.92495,0.96667,0.95948,0.86976,0.46774,0.36278,0.91127,0.00046426,0.00046426,0.00046426
7,19.2819,0.38208,0.37384,0.87851,0.91885,0.96667,0.96183,0.86024,0.47321,0.35344,0.90498,0.000445912,0.000445912,0.000445912
8,21.9008,0.40338,0.38997,0.88583,0.9419,0.97074,0.97833,0.87224,0.47736,0.36517,0.90373,0.000427564,0.000427564,0.000427564
9,24.5786,0.45121,0.42656,0.91157,0.95936,0.95166,0.98675,0.9013,0.50893,0.34337,0.93066,0.000409216,0.000409216,0.000409216
10,27.193,0.41687,0.402,0.89115,0.91591,0.96099,0.9644,0.86979,0.53678,0.42979,0.94816,0.000390868,0.000390868,0.000390868
11,29.8167,0.40361,0.38677,0.87963,0.96346,0.94152,0.96459,0.87579,0.50531,0.36882,0.94833,0.00037252,0.00037252,0.00037252
12,32.4318,0.40808,0.36345,0.88833,0.95171,0.95539,0.9634,0.87208,0.48071,0.3427,0.93893,0.000354172,0.000354172,0.000354172
13,35.066,0.38897,0.35329,0.88213,0.94412,0.95625,0.96312,0.88704,0.47715,0.35186,0.94358,0.000335824,0.000335824,0.000335824
14,37.6757,0.38068,0.35755,0.87492,0.97079,0.94912,0.9648,0.8834,0.51918,0.35436,0.93829,0.000317476,0.000317476,0.000317476
15,40.3012,0.36298,0.33486,0.87253,0.91487,0.95962,0.94758,0.87465,0.5084,0.3767,0.93609,0.000299128,0.000299128,0.000299128
16,42.9462,0.38808,0.34877,0.88869,0.91577,0.94132,0.95094,0.88602,0.52609,0.37366,0.96641,0.00028078,0.00028078,0.00028078
17,45.5698,0.38774,0.34658,0.871,0.91895,0.93135,0.95014,0.88257,0.49623,0.35909,0.94328,0.000262432,0.000262432,0.000262432
18,48.1851,0.37325,0.31279,0.87953,0.9569,0.95543,0.98675,0.88875,0.48192,0.33414,0.9461,0.000244084,0.000244084,0.000244084
19,50.8165,0.36002,0.33409,0.88562,0.96405,0.93881,0.97614,0.88495,0.47056,0.31902,0.94849,0.000225736,0.000225736,0.000225736
20,53.4471,0.35911,0.32092,0.86171,0.89237,0.96109,0.95523,0.87556,0.48856,0.32302,0.96849,0.000207388,0.000207388,0.000207388
21,56.6433,0.30547,0.25439,0.8479,0.93888,0.9062,0.94744,0.87369,0.46696,0.31837,0.96039,0.00018904,0.00018904,0.00018904
22,59.268,0.3029,0.245,0.83389,0.93642,0.89824,0.94774,0.86551,0.49518,0.31916,0.96436,0.000170692,0.000170692,0.000170692
23,61.8775,0.29031,0.23403,0.84505,0.9302,0.94989,0.96262,0.89252,0.45893,0.3006,0.94554,0.000152344,0.000152344,0.000152344
24,64.5771,0.27721,0.22595,0.82799,0.96396,0.92894,0.9636,0.89021,0.45634,0.28578,0.93626,0.000133996,0.000133996,0.000133996
25,67.1876,0.28342,0.2299,0.83012,0.9743,0.91938,0.9653,0.88943,0.45037,0.28074,0.93153,0.000115648,0.000115648,0.000115648
26,69.7887,0.27012,0.2134,0.83339,0.97452,0.9174,0.96282,0.89475,0.46042,0.28545,0.93602,9.73e-05,9.73e-05,9.73e-05
27,72.3988,0.26607,0.21368,0.83089,0.97469,0.91634,0.96305,0.89294,0.46911,0.29778,0.94358,7.8952e-05,7.8952e-05,7.8952e-05
28,75.0063,0.26507,0.20691,0.81762,0.97422,0.91529,0.96276,0.88447,0.4635,0.29752,0.94085,6.0604e-05,6.0604e-05,6.0604e-05
29,77.6181,0.26831,0.20654,0.82261,0.97265,0.9175,0.96275,0.8835,0.46553,0.30287,0.94304,4.2256e-05,4.2256e-05,4.2256e-05
30,80.2237,0.2596,0.2066,0.82028,0.97185,0.91833,0.96273,0.88693,0.46613,0.29639,0.94244,2.3908e-05,2.3908e-05,2.3908e-05
